Relay URL,Latitude,Longitude
relay.endfiat.money,43.6532,-79.3832
x.kojira.io,43.6532,-79.3832
pyramid.aaro.cc,34.0549,-118.243
relay.fountain.fm,43.6532,-79.3832
nostr.blankfors.se,60.1699,24.9384
relay01.lnfi.network,35.6764,139.65
relay-testnet.k8s.layer3.news,37.3387,-121.885
relay.credenso.cafe,43.3601,-80.3127
relay.openfarmtools.org,60.1699,24.9384
bbw-nostr.xyz,41.5284,-87.4237
relay.lightning.pub,39.0438,-77.4874
relay.wayback.st,52.3676,4.90414
nos4smartnkind.tech,40.1872,44.5152
nostr.liberty.fans,36.9104,-89.5875
social.amanah.eblessing.co,48.1046,11.6002
relay2.angor.io,48.1046,11.6002
relay.keykeeper.world,40.7824,-74.0711
relay.opensourcevillage.org,49.4543,11.0746
nostr.sathoarder.com,48.5734,7.75211
relay.illuminodes.com,47.6062,-122.332
relay.bitmacro.io,48.8566,2.35222
nostr.4rs.nl,49.0291,8.35696
relay.upleb.uk,51.9194,19.1451
nostr.spacecitynode.com,29.7057,-95.2706
nostr.rblb.it,43.6532,-79.3832
nostr.hekster.org,37.3986,-121.964
nostr.myshosholoza.co.za,52.3913,4.66545
relay.bitmacro.pro,43.6532,-79.3832
okn.czas.plus,50.1109,8.68213
wot.nostr.place,32.7767,-96.797
bridge.tagomago.me,3.139,101.687
relay.mapboss.co.th,13.7234,100.784
strfry.openhoofd.nl,51.9229,4.40833
nostr-relay.cbrx.io,43.6532,-79.3832
relay.cyphernomad.com,60.4032,25.0321
nostr.wom.wtf,43.6532,-79.3832
nostr.dpinkerton.com,39.1008,-94.5811
aaa-api.freefrom.space/v1/ws,43.6532,-79.3832
inbox.azzamo.net,45.3147,-73.8785
nostr.samcorn.synology.me,39.2904,-76.6122
relay.islandbitcoin.com,12.8498,77.6545
fenrir-s.notoshi.win,43.6532,-79.3832
bitcoiner.social,47.6743,-117.112
adre.su,59.9311,30.3609
relay.ditto.pub,43.6532,-79.3832
relay.bnos.space,43.6532,-79.3832
nostr-verified.wellorder.net,45.5201,-122.99
relay.redsh1ft.com,33.6129,-111.915
nostr.ovia.to,43.6532,-79.3832
myvoiceourstory.org,37.3598,-121.981
relay.0xchat.com,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
nostr-01.yakihonne.com,1.29524,103.79
nostrue.com,40.8054,-74.0241
pyramid.cult.cash,32.9483,-96.7299
nostr.snowbla.de,60.1699,24.9384
nostr.night7.space,50.4754,12.3683
relay.lanavault.space,60.1699,24.9384
nostr.aruku.kro.kr,37.3589,127.115
discovery.eu.nostria.app,52.3676,4.90414
npub1spxdug4m3y24hpx5crm0el4zhkk0wafs8kp6m0xu0wecygqej2xqq8gyhx.fips.network,43.6532,-79.3832
ephemeral.snowflare.cc,43.6532,-79.3832
relay.tagayasu.xyz,45.4215,-75.6972
canteen-hankering.space,40.8302,-74.1299
nostr2.girino.org,43.6532,-79.3832
bugs.plebeian.market,51.5072,-0.127586
relay.nostr.place,32.7767,-96.797
relay.ru.ac.th,13.7607,100.627
srtrelay.c-stellar.net,43.6532,-79.3832
strfry.ymir.cloud,34.0965,-117.585
schnorr.me,43.6532,-79.3832
relay.nosto.re,51.1792,5.89444
relay.nostrdice.com,-33.8688,151.209
fanfares.nostr1.com,38.6327,-90.1961
nostr-02.yakihonne.com,1.32123,103.695
relay.agorist.space,52.3734,4.89406
relay2.contextvm.org,33.6129,-111.915
relay.sharegap.net,43.6532,-79.3832
satsage.xyz,37.3986,-121.964
kanagrovv-pyramid.kozow.com,43.4305,-83.9638
relay.nostr.net,43.6532,-79.3832
relay.bitmacro.cloud,43.6532,-79.3832
relay.mostr.pub,43.6532,-79.3832
0x-nostr-relay.fly.dev,48.8575,2.35138
relay.21e6.cz,50.7383,15.0648
nostr-relay.xbytez.io,50.6924,3.20113
relay.flashapp.me,43.652,-79.3633
nostr-relay.amethyst.name,39.0067,-77.4291
relay.nostriot.com,41.5695,-83.9786
relay.seq1.net,43.6532,-79.3832
relay-dev.satlantis.io,40.8302,-74.1299
nostr.tagomago.me,3.139,101.687
relay-dev.gulugulu.moe,43.6532,-79.3832
nostr.okienko.live,50.1109,8.68213
nostr.mikoshi.de,51.2821,6.78285
nostr.spaceshell.xyz,43.6532,-79.3832
relay.bullishbounty.com,43.6532,-79.3832
relay.malxte.de,52.52,13.405
wot.dtonon.com,43.6532,-79.3832
relay.cathouse-propeller.com,52.3676,4.90414
relay.mccormick.cx,52.3563,4.95714
nostr.noones.com,50.1109,8.68213
chat-relay.zap-work.com,43.6532,-79.3832
nostr-relay.online,43.6532,-79.3832
api.freefrom.space/v1/ws,43.6532,-79.3832
notemine.io,52.2026,20.9397
relay.internationalright-wing.org,-22.5022,-48.7114
strfry.atlantislabs.space,43.6532,-79.3832
strfry.apps3.slidestr.net,40.4167,-3.70329
nostr.carroarmato0.be,51.0368,3.21186
theoutpost.life,64.1476,-21.9392
strfry.bonsai.com,37.8716,-122.273
nos.lol,50.4754,12.3683
relay5.bitransfer.org,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
nostrcheck.me,43.6532,-79.3832
relay.homeinhk.xyz,45.5152,-122.678
nostr.na.social,43.6532,-79.3832
relay.cypherflow.ai,48.8575,2.35138
santo.iguanatech.net,40.8302,-74.1299
nostr-pub.wellorder.net,45.5201,-122.99
relay.decentnewsroom.com,50.4754,12.3683
nostr-relay.corb.net,38.8353,-104.822
nostr.rtvslawenia.com,49.4543,11.0746
nostrelay.circum.space,52.3676,4.90414
nostr-relay.zeabur.app,25.0797,121.234
relay.edufeed.org,49.4521,11.0767
khatru.nostrver.se,51.1792,5.89444
purpura.cloud,43.6532,-79.3832
relay.xavierdamman.com,49.4543,11.0746
orangepiller.org,60.1699,24.9384
discovery.us.nostria.app,52.3676,4.90414
freelay.sovbit.host,64.1476,-21.9392
nestr.nedao.ch,47.0151,6.98832
relay.jeffg.fyi,43.6532,-79.3832
vault.iris.to,43.6532,-79.3832
relay.laantungir.net,-19.4692,-42.5315
relay.satlantis.io,32.8769,-80.0114
nostr-03.dorafactory.org,1.35208,103.82
ribo.us.nostria.app,41.5868,-93.625
relay.nostraddress.com,43.6532,-79.3832
relay.toastr.net,40.8054,-74.0241
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
nostr.chaima.info,50.1109,8.68213
nostr-relay.psfoundation.info,39.0438,-77.4874
nostrcity-club.fly.dev,48.8575,2.35138
pyramid.self-determined.de,53.5,10.25
nostr.red5d.dev,43.6532,-79.3832
relay.snotr.nl:49999,52.0195,4.42946
relay.olas.app,50.4754,12.3683
wot.brightbolt.net,47.6732,-117.239
tenex.chat,50.4754,12.3683
nostr.stakey.net,52.3676,4.90414
relay.henryxplace.eu.org:9988,31.2304,121.474
nostr.simplex.icu,50.1109,8.68213
syb.lol,43.6532,-79.3832
bcast.girino.org,43.6532,-79.3832
taxation-capable-cards-takes.trycloudflare.com,43.6532,-79.3832
nostr.luisschwab.net,43.6532,-79.3832
relay.mmwaves.de,48.8575,2.35138
nostr.overmind.lol,43.6532,-79.3832
nostr-dev.wellorder.net,45.5201,-122.99
nostr.tadryanom.me,43.6532,-79.3832
testrelay.era21.space,43.6532,-79.3832
nostr.self-determined.de,53.5,10.25
orly-relay.imwald.eu,48.8575,2.35138
relay.orangepill.ovh,49.1689,-0.358841
v-relay.d02.vrtmrz.net,34.6937,135.502
treuzkas.branruz.com,48.8575,2.35138
relay.bitcoindistrict.org,43.6532,-79.3832
purplerelay.com,43.6532,-79.3832
relay.vrtmrz.net,43.6532,-79.3832
inbox.mycelium.social,38.627,-90.1994
relay.og.coop,43.6532,-79.3832
relay2.ngengine.org,43.6532,-79.3832
bcast.seutoba.com.br,43.6532,-79.3832
relay.libernet.app,43.6532,-79.3832
temp.iris.to,43.6532,-79.3832
nostr.quali.chat,60.1699,24.9384
relay.lanacoin-eternity.com,40.8302,-74.1299
relay.npubhaus.com,43.6532,-79.3832
articles.layer3.news,37.3387,-121.885
testorly.nosfabrica.com,37.3986,-121.964
relay.bornheimer.app,50.1109,8.68213
antiprimal.net,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
wot.shaving.kiwi,43.6532,-79.3832
nostr.jerrynya.fun,31.2304,121.474
relay.angor.io,48.1046,11.6002
relay.visionfusen.org,43.6532,-79.3832
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
nostr.nadajnik.org,50.1109,8.68213
relay.wavefunc.live,39.7392,-104.99
nostr.dlcdevkit.com,40.0992,-83.1141
wot.codingarena.top,50.4754,12.3683
nostr.thebiglake.org,32.71,-96.6745
relay.samt.st,40.8302,-74.1299
inbox.scuba323.com,40.8218,-74.45
yabu.me,35.6092,139.73
relay-nl.zombi.cloudrodion.com,50.8943,6.06237
prl.plus,55.7628,37.5983
nostr.oxtr.dev,50.4754,12.3683
soloco.nl,43.6532,-79.3832
nostr.thalheim.io,60.1699,24.9384
relay.bithome.site,52.3563,4.95714
offchain.pub,39.1585,-94.5728
relay.commonshub.brussels,49.4543,11.0746
relay.nostu.be,40.4167,-3.70329
